signal_date,eligible_asset_count,regime,maximum_weight,effective_number_assets
2025-03-31,9,RISK,0.2340201304462921,6.955659250404442
2025-04-30,9,RISK,0.22194763258623232,7.662716890527524
2025-05-30,9,RISK,0.21663392562826034,7.764420947478045
2025-06-30,9,RISK,0.21834833598170494,7.744974539146679
2025-07-31,9,RISK,0.20153030746147116,8.085841902640638
2025-08-29,9,RISK,0.26539537289745657,7.058622335955434
2025-09-30,9,RISK,0.17647296244320806,8.116821019113914
2025-10-31,9,RISK,0.15209458861684708,8.53998584893901
2025-11-28,9,RISK,0.14899220238234487,8.563006781601608
2025-12-31,9,RISK,0.13937103824318037,8.655421607791807
2026-01-30,9,RISK,0.15075533728264476,8.609152508237742
2026-02-27,9,RISK,0.16186258739133733,8.08522530542516
2026-03-31,9,RISK,0.16383842230335385,8.217783570668788
2026-04-30,9,RISK,0.1572210021271543,8.450434837393077
2026-05-29,9,RISK,0.15631759237771836,8.380903917111677
2026-06-30,9,RISK,0.15617707148864646,8.428945602964967
2026-07-31,9,RISK,0.15853846827344859,8.256484929355649
2026-08-31,9,RISK,0.17447193775258757,8.03495671476695
