execution_date,510300.SS,510500.SS,513500.SS,513100.SS,159920.SZ,513520.SS,513030.SS,518880.SS,159980.SZ,511010.SS
2018-09-03,0.00000000,0.00000000,0.14285714,0.14285714,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.71428571
2018-11-01,0.00000000,0.00000000,0.14285714,0.14285714,0.00000000,0.00000000,0.00000000,0.14285714,0.00000000,0.57142857
2019-01-02,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.14285714,0.00000000,0.85714286
2019-02-01,0.00000000,0.00000000,0.00000000,0.00000000,0.14285714,0.00000000,0.00000000,0.14285714,0.00000000,0.71428571
2019-03-01,0.14285714,0.14285714,0.14285714,0.00000000,0.14285714,0.00000000,0.00000000,0.14285714,0.00000000,0.28571429
2019-04-01,0.14285714,0.14285714,0.14285714,0.14285714,0.14285714,0.00000000,0.00000000,0.14285714,0.00000000,0.14285714
2019-05-06,0.14285714,0.14285714,0.14285714,0.14285714,0.14285714,0.00000000,0.14285714,0.14285714,0.00000000,0.00000000
2019-06-03,0.14285714,0.14285714,0.14285714,0.14285714,0.00000000,0.00000000,0.00000000,0.14285714,0.00000000,0.28571429
2019-07-01,0.14285714,0.14285714,0.14285714,0.14285714,0.14285714,0.00000000,0.14285714,0.14285714,0.00000000,0.00000000
2019-09-02,0.14285714,0.14285714,0.14285714,0.14285714,0.00000000,0.00000000,0.14285714,0.14285714,0.00000000,0.14285714
2019-11-01,0.14285714,0.00000000,0.14285714,0.14285714,0.00000000,0.00000000,0.14285714,0.14285714,0.00000000,0.28571429
2020-01-02,0.14285714,0.14285714,0.14285714,0.14285714,0.14285714,0.00000000,0.14285714,0.14285714,0.00000000,0.00000000
2020-03-02,0.14285714,0.14285714,0.14285714,0.14285714,0.00000000,0.00000000,0.00000000,0.14285714,0.00000000,0.28571429
2020-04-01,0.00000000,0.00000000,0.00000000,0.14285714,0.00000000,0.00000000,0.00000000,0.14285714,0.00000000,0.71428571
2020-05-06,0.12500000,0.12500000,0.00000000,0.12500000,0.00000000,0.00000000,0.00000000,0.12500000,0.00000000,0.50000000
2020-06-01,0.00000000,0.12500000,0.12500000,0.12500000,0.00000000,0.12500000,0.00000000,0.12500000,0.00000000,0.37500000
2020-07-01,0.12500000,0.12500000,0.12500000,0.12500000,0.00000000,0.12500000,0.12500000,0.12500000,0.00000000,0.12500000
2020-11-02,0.11111111,0.11111111,0.00000000,0.11111111,0.00000000,0.11111111,0.00000000,0.11111111,0.11111111,0.33333333
2020-12-01,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.00000000,0.11111111,0.11111111
2021-04-01,0.11111111,0.00000000,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.00000000,0.11111111,0.22222222
