execution_date,510300.SS,510500.SS,513500.SS,513100.SS,159920.SZ,513520.SS,513030.SS,518880.SS,159980.SZ,511010.SS,511260.SS,511880.SS
2023-04-03,0.10052935329248962,0.14470425528075304,0.081016586377727087,0.066881873679557724,0.059777260288487129,0.11055169680185409,0.063771867061977933,0.26780380433622847,0.10496330288092495,0,0,0
2023-05-04,0.094431749155990299,0.12036181942139854,0.087646522991409487,0.070203678586918603,0.061458558780216666,0.11645262902285353,0.065189345608032523,0.2936062208361519,0.090649475597028559,0,0,0
2023-06-01,0.10689468026750001,0.11187334385175246,0.091727503362831336,0.077702088360755317,0.068615067876488703,0.054604844856272296,0.067198532993498178,0.33892598213265646,0.082457956298245261,0,0,0
2023-07-03,0.097427614102536253,0.096172125157664171,0.1303673157049838,0.082075262875777683,0.075623979022896887,0.046367026469094172,0.085346200053751917,0.30365758478792482,0.082962891825370366,0,0,0
2023-08-01,0.096486279820570897,0.10406156175066485,0.12353636956624015,0.076912849516003121,0.064655477732288871,0.042425744574644347,0.074100016875370295,0.31884380985071403,0.098977890313503514,0,0,0
2023-09-01,0.10256069924693026,0.096800837873330561,0.10169490539483859,0.058235243414538847,0.062202598471390515,0.060170338118797614,0.071294871148780845,0.3055701779441326,0.14147032838726012,0,0,0
2023-10-09,0.10360029039748873,0.10427167767008762,0.10245070935717733,0.060842420185696536,0.06345200860684061,0.069180202710662581,0.077112488182652705,0.25305706353829294,0.16603313935110101,0,0,0
2023-11-01,0.1051021893699607,0.092835052706434329,0.097346463867544072,0.06183336089633322,0.063657742939381659,0.063868781448776432,0.072547976149862234,0.26990076286064923,0.17290766976105801,0,0,0
2023-12-01,0.102632399440705,0.099629785486221034,0.10178496989906111,0.07691088385184193,0.058988598865299217,0.058121380459319721,0.073272284567842599,0.25952015679497781,0.16913954063473158,0,0,0
2024-01-02,0.10308976420673541,0.10420136382471548,0.10312920082708418,0.081251810990318168,0.060156936402306065,0.056709777775830618,0.075400845376809314,0.25538827775548373,0.16067202284071705,0,0,0
2024-02-01,0.11317300043862147,0.089422085825042172,0.11399868879209041,0.080647519888194408,0.059046213878597695,0.045697272923148298,0.074311585022660859,0.23245345811092041,0.19125017512072426,0,0,0
2024-03-01,0.10118598809592139,0.059592586363008709,0.10843895777659764,0.084067108013921768,0.064190887775496114,0.047477431600335275,0.079346207489021894,0.2632978696321337,0.19240296325356349,0,0,0
2024-04-01,0.11335472487064405,0.057782651510156026,0.11117306112736711,0.08577800231051215,0.063293429585383407,0.055347709763051048,0.080004627911373444,0.23872092332908335,0.19454486959242936,0,0,0
2024-05-06,0.15370662652223793,0.062876775430862314,0.10307805140780173,0.077768685823315004,0.086328343656880857,0.066492428054587605,0.10263762957015538,0.19910062962659872,0.14801082990756051,0,0,0
2024-06-03,0.17269060298981209,0.10044474263994438,0.11258282227083304,0.097131686531162012,0.072555944246673568,0.077665589983495334,0.10703391993740324,0.14157314423284051,0.11832154716783587,0,0,0
2024-07-01,0.17359757414462068,0.10625977469867505,0.12468913358019093,0.098761334930801165,0.080292415913500004,0.075189574288782521,0.10815739304876594,0.12733817530957686,0.10571462408508686,0,0,0
2024-08-01,0.1851223905681188,0.1252897882974367,0.1157766747668305,0.092100550888418356,0.094343235261214201,0.075100135796537876,0.10497093298911012,0.11667970772172967,0.090616583710603743,0,0,0
2024-09-02,0.20464285932203946,0.13157086711581084,0.077920133462719379,0.059010656832814951,0.10541697676931618,0.052504051703271742,0.095005945726394786,0.15997425930879014,0.11395424975884257,0,0,0
2024-10-08,0.098294687267808142,0.085803008534327527,0.095923121856737931,0.073003502472564513,0.092885189991560146,0.070937497119910237,0.11184594126109153,0.24973671142803119,0.12157034006796877,0,0,0
2024-11-01,0.072866605187333511,0.073179790639286396,0.1066332829675668,0.07590379218037277,0.076880243723360525,0.07618100983036083,0.12034113238944967,0.26473170059049311,0.13328244249177645,0,0,0
2024-12-02,0.05746915172062244,0.056992415047882689,0.14194440455947666,0.10152902657596298,0.068441776161207696,0.11548408421928545,0.12585640900856798,0.21480745392558184,0.11747527878141219,0,0,0
